"","PLAYER_NAME","SHOT_DISTANCE","PERIOD","Shot_Quantity","Made_Quantity","Percentage"
"54","Amir Johnson",0,2,19,15,0.789473684210526
"55","Amir Johnson",0,3,20,17,0.85
"56","Amir Johnson",0,4,25,21,0.84
"57","Amir Johnson",0,5,1,1,1
"58","Anderson Varejao",0,1,15,14,0.933333333333333
"59","Anderson Varejao",0,2,10,6,0.6
"60","Anderson Varejao",0,3,6,4,0.666666666666667
"61","Anderson Varejao",0,4,3,2,0.666666666666667
"62","Andre Drummond",0,1,147,109,0.741496598639456
"63","Andre Drummond",0,2,76,50,0.657894736842105
"64","Andre Drummond",0,3,120,78,0.65
"65","Andre Drummond",0,4,83,60,0.72289156626506
"66","Andre Drummond",0,5,2,2,1
"67","Andre Iguodala",0,1,9,8,0.888888888888889
"68","Andre Iguodala",0,2,27,23,0.851851851851852
"69","Andre Iguodala",0,3,17,16,0.941176470588235
"70","Andre Iguodala",0,4,28,25,0.892857142857143
"71","Andre Miller",0,1,3,1,0.333333333333333
"72","Andre Miller",0,2,14,9,0.642857142857143
"73","Andre Miller",0,3,4,2,0.5
"74","Andre Miller",0,4,9,5,0.555555555555556
"75","Andre Roberson",0,1,20,17,0.85
"76","Andre Roberson",0,2,7,6,0.857142857142857
"77","Andre Roberson",0,3,17,16,0.941176470588235
"78","Andre Roberson",0,4,2,1,0.5
"79","Andrea Bargnani",0,1,3,2,0.666666666666667
"80","Andrea Bargnani",0,2,3,2,0.666666666666667
"81","Andrea Bargnani",0,3,3,2,0.666666666666667
"82","Andrea Bargnani",0,4,3,3,1
"83","Andrew Bogut",0,1,48,38,0.791666666666667
"84","Andrew Bogut",0,2,27,19,0.703703703703704
"85","Andrew Bogut",0,3,30,21,0.7
"86","Andrew Bogut",0,4,16,12,0.75
"87","Andrew Nicholson",0,1,2,1,0.5
"88","Andrew Nicholson",0,2,7,7,1
"89","Andrew Nicholson",0,3,1,1,1
"90","Andrew Nicholson",0,4,2,2,1
"91","Andrew Wiggins",0,1,55,45,0.818181818181818
"92","Andrew Wiggins",0,2,35,30,0.857142857142857
"93","Andrew Wiggins",0,3,43,35,0.813953488372093
"94","Andrew Wiggins",0,4,39,30,0.769230769230769
"95","Andrew Wiggins",0,5,1,1,1
"96","Anthony Bennett",0,1,10,6,0.6
"97","Anthony Bennett",0,2,18,17,0.944444444444444
"98","Anthony Bennett",0,3,8,8,1
"99","Anthony Bennett",0,4,18,14,0.777777777777778
"100","Anthony Davis",0,1,53,45,0.849056603773585
"101","Anthony Davis",0,2,45,40,0.888888888888889
"102","Anthony Davis",0,3,60,51,0.85
"103","Anthony Davis",0,4,54,48,0.888888888888889
"104","Anthony Morrow",0,3,1,1,1
"105","Anthony Morrow",0,4,7,5,0.714285714285714
"106","Anthony Tolliver",0,1,6,5,0.833333333333333
"107","Anthony Tolliver",0,2,10,7,0.7
"108","Anthony Tolliver",0,3,8,6,0.75
"109","Anthony Tolliver",0,4,8,7,0.875
"110","Archie Goodwin",0,1,1,0,0
"111","Archie Goodwin",0,2,9,6,0.666666666666667
"112","Archie Goodwin",0,3,8,6,0.75
"113","Archie Goodwin",0,4,18,13,0.722222222222222
"114","Aron Baynes",0,1,22,17,0.772727272727273
"115","Aron Baynes",0,2,22,17,0.772727272727273
"116","Aron Baynes",0,3,19,14,0.736842105263158
"117","Aron Baynes",0,4,19,17,0.894736842105263
"118","Arron Afflalo",0,1,9,7,0.777777777777778
"119","Arron Afflalo",0,2,1,0,0
"120","Arron Afflalo",0,3,6,4,0.666666666666667
"121","Arron Afflalo",0,4,3,2,0.666666666666667
"122","Austin Rivers",0,1,6,5,0.833333333333333
"123","Austin Rivers",0,2,7,5,0.714285714285714
"124","Austin Rivers",0,3,2,2,1
"125","Austin Rivers",0,4,11,9,0.818181818181818
"126","Avery Bradley",0,1,13,10,0.769230769230769
"127","Avery Bradley",0,2,14,8,0.571428571428571
"128","Avery Bradley",0,3,26,16,0.615384615384615
"129","Avery Bradley",0,4,14,9,0.642857142857143
"130","Avery Bradley",0,5,1,1,1
"131","Ben McLemore",0,1,20,17,0.85
"132","Ben McLemore",0,2,22,22,1
"133","Ben McLemore",0,3,19,14,0.736842105263158
"134","Ben McLemore",0,4,18,17,0.944444444444444
"135","Beno Udrih",0,1,7,4,0.571428571428571
"136","Beno Udrih",0,2,17,15,0.882352941176471
"137","Beno Udrih",0,3,5,5,1
"138","Beno Udrih",0,4,10,9,0.9
"139","Bismack Biyombo",0,1,21,15,0.714285714285714
"140","Bismack Biyombo",0,2,28,22,0.785714285714286
"141","Bismack Biyombo",0,3,20,16,0.8
"142","Bismack Biyombo",0,4,14,11,0.785714285714286
"143","Bismack Biyombo",0,5,1,1,1
"144","Blake Griffin",0,1,57,46,0.807017543859649
"145","Blake Griffin",0,2,29,25,0.862068965517241
"146","Blake Griffin",0,3,50,43,0.86
"147","Blake Griffin",0,4,14,12,0.857142857142857
"148","Bojan Bogdanovic",0,1,16,13,0.8125
"149","Bojan Bogdanovic",0,2,14,10,0.714285714285714
"150","Bojan Bogdanovic",0,3,8,7,0.875
"151","Bojan Bogdanovic",0,4,6,5,0.833333333333333
"152","Boris Diaw",0,1,10,6,0.6
"153","Boris Diaw",0,2,11,6,0.545454545454545
"154","Boris Diaw",0,3,7,5,0.714285714285714
"155","Boris Diaw",0,4,14,8,0.571428571428571
"156","Bradley Beal",0,1,26,20,0.769230769230769
"157","Bradley Beal",0,2,19,15,0.789473684210526
"158","Bradley Beal",0,3,20,16,0.8
"159","Bradley Beal",0,4,16,15,0.9375
"160","Bradley Beal",0,5,1,1,1
"161","Brandan Wright",0,1,27,23,0.851851851851852
"162","Brandan Wright",0,2,44,42,0.954545454545455
"163","Brandan Wright",0,3,27,24,0.888888888888889
"164","Brandan Wright",0,4,31,28,0.903225806451613
"165","Brandon Bass",0,1,46,39,0.847826086956522
"166","Brandon Bass",0,2,30,27,0.9
"167","Brandon Bass",0,3,42,35,0.833333333333333
"168","Brandon Bass",0,4,28,25,0.892857142857143
"169","Brandon Bass",0,5,1,0,0
"170","Brandon Bass",0,6,1,1,1
"171","Brandon Jennings",0,1,36,28,0.777777777777778
"172","Brandon Jennings",0,2,6,2,0.333333333333333
"173","Brandon Jennings",0,3,21,15,0.714285714285714
"174","Brandon Jennings",0,4,11,5,0.454545454545455
"175","Brandon Jennings",0,5,2,1,0.5
"176","Brandon Knight",0,1,39,21,0.538461538461538
"177","Brandon Knight",0,2,19,18,0.947368421052632
"178","Brandon Knight",0,3,39,28,0.717948717948718
"179","Brandon Knight",0,4,21,15,0.714285714285714
"180","Brandon Knight",0,5,1,1,1
"181","Brandon Rush",0,3,1,0,0
"182","Brandon Rush",0,4,2,2,1
"183","Brian Roberts",0,1,3,1,0.333333333333333
"184","Brian Roberts",0,2,2,1,0.5
"185","Brian Roberts",0,4,4,2,0.5
"186","Brook Lopez",0,1,33,25,0.757575757575758
"187","Brook Lopez",0,2,20,12,0.6
"188","Brook Lopez",0,3,18,13,0.722222222222222
"189","Brook Lopez",0,4,20,16,0.8
"190","Brook Lopez",0,7,1,1,1
"191","Bruno Caboclo",0,4,1,1,1
"192","Bryce Cotton",0,2,1,1,1
"193","Bryce Cotton",0,3,1,1,1
"194","Bryce Cotton",0,4,1,1,1
"195","CJ McCollum",0,1,3,2,0.666666666666667
"196","CJ McCollum",0,2,5,2,0.4
"197","CJ McCollum",0,3,1,1,1
"198","CJ McCollum",0,4,11,10,0.909090909090909
"199","CJ Miles",0,1,14,12,0.857142857142857
"200","CJ Miles",0,2,16,12,0.75
"201","CJ Miles",0,3,18,15,0.833333333333333
"202","CJ Miles",0,4,12,9,0.75
"203","CJ Watson",0,1,2,1,0.5
"204","CJ Watson",0,2,9,7,0.777777777777778
"205","CJ Watson",0,3,5,4,0.8
"206","CJ Watson",0,4,3,3,1
"207","Carl Landry",0,1,11,10,0.909090909090909
"208","Carl Landry",0,2,12,11,0.916666666666667
"209","Carl Landry",0,3,8,7,0.875
"210","Carl Landry",0,4,4,4,1
"211","Carmelo Anthony",0,1,12,11,0.916666666666667
"212","Carmelo Anthony",0,2,11,8,0.727272727272727
"213","Carmelo Anthony",0,3,7,5,0.714285714285714
"214","Carmelo Anthony",0,4,9,6,0.666666666666667
"215","Caron Butler",0,1,3,2,0.666666666666667
"216","Caron Butler",0,2,5,3,0.6
"217","Caron Butler",0,3,3,1,0.333333333333333
"218","Caron Butler",0,4,3,3,1
"219","Chandler Parsons",0,1,41,30,0.731707317073171
"220","Chandler Parsons",0,2,27,20,0.740740740740741
"221","Chandler Parsons",0,3,27,23,0.851851851851852
"222","Chandler Parsons",0,4,13,11,0.846153846153846
"223","Chandler Parsons",0,5,1,1,1
"224","Channing Frye",0,1,1,0,0
"225","Channing Frye",0,2,2,1,0.5
"226","Channing Frye",0,3,4,2,0.5
"227","Channing Frye",0,4,3,2,0.666666666666667
"228","Charles Hayes",0,2,3,2,0.666666666666667
"229","Charles Hayes",0,4,3,3,1
"230","Charlie Villanueva",0,1,2,0,0
"231","Charlie Villanueva",0,2,6,3,0.5
"232","Charlie Villanueva",0,3,7,4,0.571428571428571
"233","Charlie Villanueva",0,4,7,6,0.857142857142857
"234","Chase Budinger",0,1,7,5,0.714285714285714
"235","Chase Budinger",0,2,17,12,0.705882352941177
"236","Chase Budinger",0,3,8,6,0.75
"237","Chase Budinger",0,4,14,11,0.785714285714286
"238","Chris Andersen",0,1,27,23,0.851851851851852
"239","Chris Andersen",0,2,22,18,0.818181818181818
"240","Chris Andersen",0,3,16,14,0.875
"241","Chris Andersen",0,4,18,16,0.888888888888889
"242","Chris Bosh",0,1,20,14,0.7
"243","Chris Bosh",0,2,8,6,0.75
"244","Chris Bosh",0,3,16,11,0.6875
"245","Chris Bosh",0,4,6,4,0.666666666666667
"246","Chris Copeland",0,1,3,3,1
"247","Chris Copeland",0,2,6,4,0.666666666666667
"248","Chris Copeland",0,3,6,5,0.833333333333333
"249","Chris Copeland",0,4,7,4,0.571428571428571
"250","Chris Johnson",0,1,3,3,1
"251","Chris Johnson",0,2,4,3,0.75
"252","Chris Johnson",0,3,3,2,0.666666666666667
"253","Chris Johnson",0,4,3,2,0.666666666666667
"254","Chris Kaman",0,1,19,16,0.842105263157895
"255","Chris Kaman",0,2,22,17,0.772727272727273
"256","Chris Kaman",0,3,14,12,0.857142857142857
"257","Chris Kaman",0,4,8,7,0.875
"258","Chris Paul",0,1,4,2,0.5
"259","Chris Paul",0,2,4,3,0.75
"260","Chris Paul",0,3,3,2,0.666666666666667
"261","Chris Paul",0,4,2,1,0.5
"262","Cleanthony Early",0,1,1,1,1
"263","Cleanthony Early",0,2,5,4,0.8
"264","Cleanthony Early",0,3,3,3,1
"265","Cleanthony Early",0,4,8,5,0.625
"266","Clint Capela",0,1,4,3,0.75
"267","Clint Capela",0,2,2,2,1
"268","Clint Capela",0,3,2,2,1
"269","Clint Capela",0,4,5,4,0.8
"270","Cody Zeller",0,1,24,22,0.916666666666667
"271","Cody Zeller",0,2,21,13,0.619047619047619
"272","Cody Zeller",0,3,26,19,0.730769230769231
"273","Cody Zeller",0,4,15,11,0.733333333333333
"274","Cody Zeller",0,5,1,1,1
"275","Cody Zeller",0,6,1,1,1
"276","Cole Aldrich",0,1,8,7,0.875
"277","Cole Aldrich",0,2,11,9,0.818181818181818
"278","Cole Aldrich",0,3,9,8,0.888888888888889
"279","Cole Aldrich",0,4,11,10,0.909090909090909
"280","Corey Brewer",0,1,26,21,0.807692307692308
"281","Corey Brewer",0,2,41,32,0.780487804878049
"282","Corey Brewer",0,3,22,14,0.636363636363636
"283","Corey Brewer",0,4,29,22,0.758620689655172
"284","Cory Jefferson",0,1,3,1,0.333333333333333
"285","Cory Jefferson",0,2,15,10,0.666666666666667
"286","Cory Jefferson",0,3,3,1,0.333333333333333
"287","Cory Jefferson",0,4,18,15,0.833333333333333
"288","Cory Joseph",0,1,9,6,0.666666666666667
"289","Cory Joseph",0,2,11,8,0.727272727272727
"290","Cory Joseph",0,3,9,5,0.555555555555556
"291","Cory Joseph",0,4,13,6,0.461538461538462
"292","Courtney Lee",0,1,14,11,0.785714285714286
"293","Courtney Lee",0,2,10,6,0.6
"294","Courtney Lee",0,3,13,9,0.692307692307692
"295","Courtney Lee",0,4,6,4,0.666666666666667
"296","D.J. Augustin",0,1,17,12,0.705882352941177
"297","D.J. Augustin",0,2,28,19,0.678571428571429
"298","D.J. Augustin",0,3,13,9,0.692307692307692
"299","D.J. Augustin",0,4,12,9,0.75
"300","Dahntay Jones",0,4,2,2,1
"301","Damian Lillard",0,1,24,18,0.75
"302","Damian Lillard",0,2,24,17,0.708333333333333
"303","Damian Lillard",0,3,30,25,0.833333333333333
"304","Damian Lillard",0,4,35,28,0.8
"305","Damian Lillard",0,5,1,1,1
"306","Damian Lillard",0,6,1,1,1
"307","Damian Lillard",0,7,1,1,1
"308","Damjan Rudez",0,1,2,0,0
"309","Damjan Rudez",0,2,4,2,0.5
"310","Damjan Rudez",0,3,1,1,1
"311","Damjan Rudez",0,4,5,5,1
"312","Danilo Gallinari",0,1,10,6,0.6
"313","Danilo Gallinari",0,2,7,6,0.857142857142857
"314","Danilo Gallinari",0,3,8,7,0.875
"315","Danilo Gallinari",0,4,4,4,1
"316","Danilo Gallinari",0,6,1,1,1
"317","Danny Green",0,1,4,2,0.5
"318","Danny Green",0,2,17,11,0.647058823529412
"319","Danny Green",0,3,8,5,0.625
"320","Danny Green",0,4,13,8,0.615384615384615
"321","Dante Cunningham",0,1,5,5,1
"322","Dante Cunningham",0,2,4,2,0.5
"323","Dante Cunningham",0,3,6,5,0.833333333333333
"324","Dante Cunningham",0,4,8,5,0.625
"325","Darrell Arthur",0,1,3,2,0.666666666666667
"326","Darrell Arthur",0,2,6,5,0.833333333333333
"327","Darrell Arthur",0,3,9,6,0.666666666666667
