"","PLAYER_NAME","Type","PERIOD","Shot_Quantity","Made_Quantity","Percentage"
"490","Alan Anderson","Step Back Jump shot",1,2,1,0.5
"491","Alan Anderson","Turnaround Bank shot",1,1,1,1
"492","Alan Anderson","Turnaround Jump Shot",1,1,1,1
"493","Alan Anderson","Driving Layup Shot",2,6,3,0.5
"494","Alan Anderson","Driving Reverse Layup Shot",2,3,3,1
"495","Alan Anderson","Dunk Shot",2,5,4,0.8
"496","Alan Anderson","Fadeaway Jump Shot",2,1,0,0
"497","Alan Anderson","Floating Jump shot",2,3,2,0.666666666666667
"498","Alan Anderson","Jump Bank Shot",2,4,4,1
"499","Alan Anderson","Jump Shot",2,82,27,0.329268292682927
"500","Alan Anderson","Layup Shot",2,16,5,0.3125
"501","Alan Anderson","Pullup Jump shot",2,5,1,0.2
"502","Alan Anderson","Reverse Layup Shot",2,5,5,1
"503","Alan Anderson","Running Jump Shot",2,1,0,0
"504","Alan Anderson","Running Reverse Layup Shot",2,1,1,1
"505","Alan Anderson","Step Back Jump shot",2,1,1,1
"506","Alan Anderson","Driving Jump shot",3,2,1,0.5
"507","Alan Anderson","Driving Layup Shot",3,8,5,0.625
"508","Alan Anderson","Driving Reverse Layup Shot",3,1,1,1
"509","Alan Anderson","Driving Slam Dunk Shot",3,1,1,1
"510","Alan Anderson","Dunk Shot",3,1,1,1
"511","Alan Anderson","Fadeaway Jump Shot",3,1,1,1
"512","Alan Anderson","Floating Jump shot",3,3,3,1
"513","Alan Anderson","Jump Bank Shot",3,1,1,1
"514","Alan Anderson","Jump Shot",3,58,23,0.396551724137931
"515","Alan Anderson","Layup Shot",3,5,1,0.2
"516","Alan Anderson","Reverse Layup Shot",3,2,2,1
"517","Alan Anderson","Running Jump Shot",3,2,0,0
"518","Alan Anderson","Turnaround Jump Shot",3,1,0,0
"519","Alan Anderson","Driving Finger Roll Layup Shot",4,1,1,1
"520","Alan Anderson","Driving Layup Shot",4,12,9,0.75
"521","Alan Anderson","Driving Reverse Layup Shot",4,1,1,1
"522","Alan Anderson","Dunk Shot",4,2,2,1
"523","Alan Anderson","Fadeaway Jump Shot",4,2,0,0
"524","Alan Anderson","Finger Roll Layup Shot",4,1,1,1
"525","Alan Anderson","Jump Bank Shot",4,2,1,0.5
"526","Alan Anderson","Jump Shot",4,82,22,0.268292682926829
"527","Alan Anderson","Layup Shot",4,9,6,0.666666666666667
"528","Alan Anderson","Pullup Jump shot",4,7,3,0.428571428571429
"529","Alan Anderson","Reverse Layup Shot",4,3,3,1
"530","Alan Anderson","Running Jump Shot",4,1,1,1
"531","Alan Anderson","Slam Dunk Shot",4,1,1,1
"532","Alan Anderson","Step Back Jump shot",4,2,1,0.5
"533","Alan Anderson","Turnaround Jump Shot",4,1,0,0
"534","Alan Anderson","Jump Shot",5,1,1,1
"535","Alec Burks","Driving Bank shot",1,1,1,1
"536","Alec Burks","Driving Dunk Shot",1,1,1,1
"537","Alec Burks","Driving Jump shot",1,1,1,1
"538","Alec Burks","Driving Layup Shot",1,12,11,0.916666666666667
"539","Alec Burks","Driving Reverse Layup Shot",1,2,2,1
"540","Alec Burks","Driving Slam Dunk Shot",1,1,1,1
"541","Alec Burks","Dunk Shot",1,2,1,0.5
"542","Alec Burks","Fadeaway Bank shot",1,1,1,1
"543","Alec Burks","Fadeaway Jump Shot",1,1,1,1
"544","Alec Burks","Floating Jump shot",1,1,0,0
"545","Alec Burks","Jump Bank Shot",1,1,1,1
"546","Alec Burks","Jump Shot",1,49,14,0.285714285714286
"547","Alec Burks","Layup Shot",1,10,3,0.3
"548","Alec Burks","Pullup Jump shot",1,2,0,0
"549","Alec Burks","Putback Layup Shot",1,1,1,1
"550","Alec Burks","Reverse Layup Shot",1,1,0,0
"551","Alec Burks","Running Bank shot",1,2,2,1
"552","Alec Burks","Running Jump Shot",1,4,2,0.5
"553","Alec Burks","Slam Dunk Shot",1,2,2,1
"554","Alec Burks","Step Back Jump shot",1,1,1,1
"555","Alec Burks","Driving Dunk Shot",2,1,1,1
"556","Alec Burks","Driving Finger Roll Layup Shot",2,1,1,1
"557","Alec Burks","Driving Layup Shot",2,2,1,0.5
"558","Alec Burks","Fadeaway Jump Shot",2,1,0,0
