"","SHOT_DISTANCE","Type","Shot_Quantity","Made_Quantity"
"204",5,"Driving Layup Shot",7,1
"205",5,"Fadeaway Bank shot",5,1
"206",5,"Fadeaway Jump Shot",38,16
"207",5,"Floating Jump shot",328,184
"208",5,"Hook Bank Shot",25,18
"209",5,"Hook Shot",711,290
"210",5,"Jump Bank Hook Shot",7,5
"211",5,"Jump Bank Shot",140,79
"212",5,"Jump Hook Shot",231,123
"213",5,"Jump Shot",2027,443
"214",5,"Layup Shot",4,1
"215",5,"Pullup Jump shot",28,10
"216",5,"Putback Layup Shot",1,0
"217",5,"Running Bank Hook Shot",8,6
"218",5,"Running Bank shot",123,79
"219",5,"Running Hook Shot",147,79
"220",5,"Running Jump Shot",408,163
"221",5,"Running Layup Shot",1,0
"222",5,"Step Back Jump shot",6,4
"223",5,"Tip Shot",4,1
"224",5,"Turnaround Bank Hook Shot",9,9
"225",5,"Turnaround Bank shot",25,18
"226",5,"Turnaround Fadeaway shot",8,4
"227",5,"Turnaround Hook Shot",152,93
"228",5,"Turnaround Jump Shot",156,72
"229",6,"Driving Bank Hook Shot",7,3
"230",6,"Driving Bank shot",51,33
"231",6,"Driving Hook Shot",48,23
"232",6,"Driving Jump shot",211,91
"233",6,"Fadeaway Bank shot",10,7
"234",6,"Fadeaway Jump Shot",55,28
"235",6,"Floating Jump shot",400,220
"236",6,"Hook Bank Shot",20,16
"237",6,"Hook Shot",633,256
"238",6,"Jump Bank Hook Shot",6,6
"239",6,"Jump Bank Shot",155,98
"240",6,"Jump Hook Shot",222,121
"241",6,"Jump Shot",1845,379
"242",6,"Pullup Bank shot",6,3
"243",6,"Pullup Jump shot",34,25
"244",6,"Running Bank Hook Shot",5,3
"245",6,"Running Bank shot",110,80
"246",6,"Running Finger Roll Layup Shot",1,1
"247",6,"Running Hook Shot",133,65
"248",6,"Running Jump Shot",415,172
"249",6,"Step Back Jump shot",11,5
"250",6,"Tip Shot",3,0
"251",6,"Turnaround Bank Hook Shot",17,15
"252",6,"Turnaround Bank shot",30,23
"253",6,"Turnaround Fadeaway shot",24,9
"254",6,"Turnaround Hook Shot",174,90
"255",6,"Turnaround Jump Shot",198,102
